Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Hagakyrka Bells	Kali Malone		The Sacrificial Code						Ambient	2804452	68			7		2019	3/21/20, 5:41 PM	3/21/20, 5:41 PM	320	44100		MPEG audio file		Visit http://kalimalone.bandcamp.com						Macintosh HD/Users/mck/Dropbox/Tracks/Kali Malone - The Sacrificial Code/Kali Malone - The Sacrificial Code - 07 Hagakyrka Bells.mp3
Fantastic 4	Slum Village		Fantastic Vol. 1						Rap	1952706	73			22		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	212	44100		MPEG audio file					1	3/22/20, 3:09 PM		Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/22 - Slum Village - Fantastic 4.mp3
How We Bullshit	Slum Village		Fantastic Vol. 1						Rap	1992671	75			4		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	210	44100		MPEG audio file					1	3/22/20, 3:09 PM		Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/04 - Slum Village - How We Bullshit.mp3
Pregnant (T3)	Slum Village		Fantastic Vol. 1						Rap	2041118	76			10		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	212	44100		MPEG audio file					1	3/22/20, 3:09 PM		Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/10 - Slum Village - Pregnant (T3).mp3
Estimate	Slum Village		Fantastic Vol. 1						Rap	2323537	84			7		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	220	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/07 - Slum Village - Estimate.mp3
Fantastic	Slum Village		Fantastic Vol. 1						Rap	2629482	87			1		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	239	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/01 - Slum Village - Fantastic.mp3
Fantastic 3	Slum Village		Fantastic Vol. 1						Rap	2872553	96			13		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	239	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/13 - Slum Village - Fantastic 3.mp3
Hoc-N-Pucky	Slum Village		Fantastic Vol. 1						Rap	3037086	96			8		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	250	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/08 - Slum Village - Hoc-N-Pucky.mp3
Saturday Nite	Ghostface Killah		Supreme Clientele						Rap	2166217	99			4		2000	11/18/09, 12:27 PM	3/21/20, 2:14 PM	174	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Supreme Clientele/04 - Ghostface Killah - Saturday Nite.mp3
Stay True ft. 60 Second Assassin	Ghostface Killah		Supreme Clientele						Rap	2370049	99			11		2000	11/18/09, 12:27 PM	3/21/20, 2:14 PM	190	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Supreme Clientele/11 - Ghostface Killah - Stay True ft. 60 Second Assassin.mp3
The Genesis	NaS		Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 1)						Rap	4219588	105			1			6/9/07, 5:13 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Illmatic (10th Anniversary Illmatic Platinum Series) (Disc 1)/01 - NaS - The Genesis.mp3
Number One Ft. Prodigy (Bonus) (Produced By Havoc)	Big Twins		The Project Kid						Rap	2021181	108			16	17	2009	8/20/09, 12:11 AM	3/21/20, 2:14 PM	148	44100		MPEG audio file		Enjoy & Go Support The Artist.......pz1						Macintosh HD/Users/mck/Dropbox/Other Music/The Project Kid/16 - Big Twins - Number One Ft. Prodigy (Bonus) (Produced By Havoc).mp3
Friend Or Foe	Jay-Z		Reasonable Doubt						Rap	4430248	109			10		1996	3/21/20, 2:37 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Reasonable Doubt/10 Friend Or Foe.mp3
Changes	Torae	Diamond D	For The Record						Rap	3832327	114			8		2011	3/21/20, 2:41 PM	3/21/20, 2:14 PM	256	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/For The Record/08. Changes.mp3
Stroke of Death	Ghostface Killah		Supreme Clientele						Rap	2535571	116			13		2000	11/18/09, 12:27 PM	3/21/20, 2:14 PM	174	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Supreme Clientele/13 - Ghostface Killah - Stroke of Death.mp3
Iron's Theme - Conclusion	Ghostface Killah		Supreme Clientele						Rap	3203351	118			21		2000	11/18/09, 12:27 PM	3/21/20, 2:14 PM	216	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Supreme Clientele/21 - Ghostface Killah - Iron's Theme - Conclusion.mp3
Wailin'	Outkast		ATLiens						Rap	4830867	118			9		1996	11/20/10, 10:41 AM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/ATLiens/09 - Outkast - Wailin'.mp3
Just Don't Give A Fuck (Produced By Sid Roams)	Big Twins		The Project Kid						Rap	2818439	119			12	17	2009	8/20/09, 12:11 AM	3/21/20, 2:14 PM	188	44100		MPEG audio file		Enjoy & Go Support The Artist.......pz1						Macintosh HD/Users/mck/Dropbox/Other Music/The Project Kid/12 - Big Twins - Just Don't Give A Fuck (Produced By Sid Roams).mp3
Voice	Avishai Cohen		Colors						Jazz	5071422	125			13		2000	9/27/10, 5:32 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Colors/13 - Avishai Cohen - Voice.mp3
Moments of Soul - Delicious	King Britt		Deep and Sexy 4						House	4027444	132			7		2007	3/21/20, 2:38 PM	3/21/20, 2:14 PM	243	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Deep and Sexy 4/07 - King Britt - Moments of Soul - Delicious.mp3
Sky Pager	A Tribe Called Quest		The Low End Theory						Rap	5320747	132					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/12 - A Tribe Called Quest - Sky Pager.mp3
Rap Promoter	A Tribe Called Quest		The Low End Theory						Rap	5335376	133					1991	3/21/20, 2:42 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file		Created by Free CD Ripper !						Macintosh HD/Users/mck/Dropbox/Other Music/The Low End Theory/3 - A Tribe Called Quest - Rap Promoter.mp3
De Ye Tan Di	Avishai Cohen		Colors						Jazz	5415201	134			6		2000	9/27/10, 5:30 PM	3/21/20, 2:14 PM	320	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Colors/06 - Avishai Cohen - De Ye Tan Di.mp3
Beej-N-Dem (feat. Beej)	Slum Village		Fantastic Vol. 1						Rap	3905425	136			9		1996	3/21/20, 2:40 PM	3/21/20, 2:14 PM	228	44100		MPEG audio file								Macintosh HD/Users/mck/Dropbox/Other Music/Fantastic Vol. 1/09 - Slum Village - Beej-N-Dem (feat. Beej).mp3
